date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2011-07-07 00:00:00+00:00,29.14,30.0,29.01,29.73,1327900,1.982,2.0,1.934,1.9426666667,19918500
2011-07-08 00:00:00+00:00,29.89,29.89,28.59,28.81,1240600,1.9206666667,1.9926666667,1.906,1.9926666667,18609000
2011-07-11 00:00:00+00:00,28.4,28.53,28.0,28.35,975800,1.89,1.902,1.8666666667,1.8933333333,14637000
2011-07-12 00:00:00+00:00,28.37,29.09,28.0,28.17,1045400,1.878,1.9393333333,1.8666666667,1.8913333333,15681000
2011-07-13 00:00:00+00:00,28.43,29.03,27.9,28.64,1066000,1.9093333333,1.9353333333,1.86,1.8953333333,15990000
2011-07-14 00:00:00+00:00,28.53,28.96,27.25,27.61,1159000,1.8406666667,1.9306666667,1.8166666667,1.902,17385000
2011-07-15 00:00:00+00:00,27.79,27.83,27.4,27.58,709000,1.8386666667,1.8553333333,1.8266666667,1.8526666667,10635000
2011-07-18 00:00:00+00:00,27.34,27.45,26.63,27.23,851900,1.8153333333,1.83,1.7753333333,1.8226666667,12778500
2011-07-19 00:00:00+00:00,27.58,28.11,27.54,27.89,1026100,1.8593333333,1.874,1.836,1.8386666667,15391500
2011-07-20 00:00:00+00:00,28.0,30.44,27.8,28.69,3048300,1.9126666667,2.0293333333,1.8533333333,1.8666666667,45724500
2011-07-21 00:00:00+00:00,28.91,29.16,28.1,28.7,1011500,1.9133333333,1.944,1.8733333333,1.9273333333,15172500
2011-07-22 00:00:00+00:00,28.7,29.54,28.5509,29.29,583500,1.9526666667,1.9693333333,1.9033933333,1.9133333333,8752500
2011-07-25 00:00:00+00:00,29.01,29.25,28.44,28.49,673300,1.8993333333,1.95,1.896,1.934,10099500
2011-07-26 00:00:00+00:00,28.31,28.77,27.97,28.0,760600,1.8666666667,1.918,1.8646666667,1.8873333333,11409000
2011-07-27 00:00:00+00:00,28.5,28.5,27.51,27.64,958500,1.8426666667,1.9,1.834,1.9,14377500
2011-07-28 00:00:00+00:00,27.6,28.55,27.54,28.17,938700,1.878,1.9033333333,1.836,1.84,14080500
2011-07-29 00:00:00+00:00,27.8,28.4,27.5,28.17,948200,1.878,1.8933333333,1.8333333333,1.8533333333,14223000
2011-08-01 00:00:00+00:00,28.67,28.98,28.21,28.77,1164900,1.918,1.932,1.8806666667,1.9113333333,17473500
2011-08-02 00:00:00+00:00,28.69,29.2,27.27,27.34,1549400,1.8226666667,1.9466666667,1.818,1.9126666667,23241000
2011-08-03 00:00:00+00:00,27.5,27.83,26.336,27.2,1794500,1.8133333333,1.8553333333,1.7557333333,1.8333333333,26917500
2011-08-04 00:00:00+00:00,26.51,26.89,24.67,24.75,3064500,1.65,1.7926666667,1.6446666667,1.7673333333,45967500
2011-08-05 00:00:00+00:00,24.99,25.38,22.83,24.24,1964400,1.616,1.692,1.522,1.666,29466000
2011-08-08 00:00:00+00:00,23.1,24.44,23.1,23.64,2608500,1.576,1.6293333333,1.54,1.54,39127500
2011-08-09 00:00:00+00:00,24.15,25.45,23.7,25.06,1333400,1.6706666667,1.6966666667,1.58,1.61,20001000
2011-08-10 00:00:00+00:00,25.44,25.44,23.63,23.82,1564200,1.588,1.696,1.5753333333,1.696,23463000
2011-08-11 00:00:00+00:00,24.04,25.75,24.0,25.3,836500,1.6866666667,1.7166666667,1.6,1.6026666667,12547500
2011-08-12 00:00:00+00:00,25.6,27.14,25.36,26.31,1009100,1.754,1.8093333333,1.6906666667,1.7066666667,15136500
2011-08-15 00:00:00+00:00,26.62,26.75,25.93,26.23,738600,1.7486666667,1.7833333333,1.7286666667,1.7746666667,11079000
2011-08-16 00:00:00+00:00,26.13,26.54,25.83,26.1,537700,1.74,1.7693333333,1.722,1.742,8065500
2011-08-17 00:00:00+00:00,26.39,26.65,25.51,25.83,643700,1.722,1.7766666667,1.7006666667,1.7593333333,9655500
2011-08-18 00:00:00+00:00,25.0,25.15,23.47,24.26,1056600,1.6173333333,1.6766666667,1.5646666667,1.6666666667,15849000
2011-08-19 00:00:00+00:00,23.86,24.22,22.0,22.3,1375300,1.4866666667,1.6146666667,1.4666666667,1.5906666667,20629500
2011-08-22 00:00:00+00:00,23.11,23.8,21.68,21.95,986100,1.4633333333,1.5866666667,1.4453333333,1.5406666667,14791500
